Namespace(dataset='retailrocket', epoch=30, batchSize=100, embSize=100, l2=1e-05, lr=0.001, layer=2, beta=0.005, lam=0.005, eps=0.2)
/content/test_all/nhom2/COTREC/util.py:64: RuntimeWarning: divide by zero encountered in divide
  self.adjacency = adj.multiply(1.0/adj.sum(axis=0).reshape(1, -1))
/content/test_all/nhom2/COTREC/model.py:118: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at /pytorch/torch/csrc/tensor/python_tensor.cpp:78.)
  self.adv_item = torch.cuda.FloatTensor(self.n_node, self.emb_size).fill_(0).requires_grad_(True)
-------------------------------------------------------
epoch:  0
start training:  2026-06-14 00:39:36.632669
/content/test_all/nhom2/COTREC/model.py:45: UserWarning: torch.sparse.SparseTensor(indices, values, shape, *, device=) is deprecated.  Please use torch.sparse_coo_tensor(indices, values, shape, dtype=, device=). (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:654.)
  adjacency = torch.sparse.FloatTensor(i, v, torch.Size(shape))
[7850/7963] train loss: 5.0043
[7900/7963] train loss: 5.3359
[7950/7963] train loss: 5.1691
[7962/7963] train loss: 4.7970
	Loss:	43882.174
start predicting:  2026-06-14 01:46:41.514713
[0/754] predicting...
[75/754] predicting...
[150/754] predicting...
[225/754] predicting...
[300/754] predicting...
[375/754] predicting...
[450/754] predicting...
[525/754] predicting...
[600/754] predicting...
[675/754] predicting...
[750/754] predicting...
[753/754] predicting...
{'hit5': np.float64(46.95888594164456), 'mrr5': np.float64(35.53043766578249), 'hit10': np.float64(54.6896551724138), 'mrr10': np.float64(36.56924971580144), 'hit20': np.float64(62.11538461538461), 'mrr20': np.float64(37.0860698748447)}
train_loss:	43882.1738	Recall@5: 46.9589	MRR5: 35.5304	Epoch: 0,  0
train_loss:	43882.1738	Recall@10: 54.6897	MRR10: 36.5692	Epoch: 0,  0
train_loss:	43882.1738	Recall@20: 62.1154	MRR20: 37.0861	Epoch: 0,  0
-------------------------------------------------------
epoch:  1
start training:  2026-06-14 01:49:06.600977
[0/7963] train loss: 4.9508
[50/7963] train loss: 4.9726
[100/7963] train loss: 4.7840
[150/7963] train loss: 4.8022
[200/7963] train loss: 5.0512
[250/7963] train loss: 5.2851
[300/7963] train loss: 4.6147
[350/7963] train loss: 5.2244
[400/7963] train loss: 4.7991
